id;from_date;to_date;employee_id;department_id
1;2020-10-03T02:46:20;2020-10-03T02:17:39;1;1
2;2020-10-03T16:33:52;2020-10-03T22:41:20;2;2
3;2020-10-03T10:35:49;2020-10-03T17:25:22;3;3
4;2020-10-03T12:34:39;2020-10-03T09:39:33;4;4
5;2020-10-03T14:16:31;2020-10-03T05:28:35;5;5
6;2020-10-03T16:55:57;2020-10-03T19:05:26;6;6
7;2020-10-03T22:10:46;2020-10-03T22:40:35;7;7
8;2020-10-03T20:58:49;2020-10-03T14:05:49;8;8
9;2020-10-03T10:09:03;2020-10-03T18:32:11;9;9
10;2020-10-03T09:35:41;2020-10-03T22:17:06;10;10
