id;from_date;to_date;employee_id;department_id
1;2020-10-03T10:31:56;2020-10-03T16:41:47;1;1
2;2020-10-03T09:55:53;2020-10-03T17:11:48;2;2
3;2020-10-03T12:39:08;2020-10-03T01:34:35;3;3
4;2020-10-03T03:54:13;2020-10-03T23:12:30;4;4
5;2020-10-03T09:51:10;2020-10-03T11:08:26;5;5
6;2020-10-03T17:19:46;2020-10-03T21:03:18;6;6
7;2020-10-03T18:57:59;2020-10-03T15:51:36;7;7
8;2020-10-03T13:54:23;2020-10-03T02:23:29;8;8
9;2020-10-03T12:53:42;2020-10-03T05:43:18;9;9
10;2020-10-03T22:16:16;2020-10-03T07:43:15;10;10
